ID PDC local;Statut du point de recharge;URL Description Point de charge;Heure mise Ã  jour;coordonneesXY;adresse_station;code_insee_commune;arrondissement
FR*V75*E9018*05*3;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*05*3;2025-01-06T03:30:05+00:00;48.89061, 2.35423;27 Rue Ordener 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*01*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*01*1;2025-01-06T03:30:05+00:00;48.898304, 2.3423252;1 Rue Fernand Labori 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*01*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*01*6;2025-01-06T03:30:05+00:00;48.898304, 2.3423252;1 Rue Fernand Labori 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*08*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*08*2;2025-01-06T03:30:05+00:00;48.8954, 2.35;28 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*11*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*11*4;2025-01-06T03:30:05+00:00;48.88508, 2.3375535;1bis Rue Ravignan 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*13*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*13*4;2025-01-06T03:30:05+00:00;48.891644, 2.344978;62 Rue Ramey 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*07*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*07*1;2025-01-06T07:50:03+00:00;48.8861, 2.3591;1 Rue Jean-FranÃ§ois LÃ©pine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*12*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*12*1;2025-01-06T07:23:03+00:00;48.893276, 2.3395;120 Rue Ordener 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*09*4;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*09*4;2023-10-16T02:30:06+00:00;48.8949, 2.3355;162 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*09*6;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*09*6;2023-10-16T02:30:06+00:00;48.8949, 2.3355;162 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*09*2;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*09*2;2023-10-16T02:30:06+00:00;48.8949, 2.3355;162 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*09*3;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*09*3;2023-10-16T02:30:06+00:00;48.8949, 2.3355;162 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*09*1;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*09*1;2023-10-16T02:30:06+00:00;48.8949, 2.3355;162 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*09*5;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*09*5;2023-10-16T02:30:06+00:00;48.8949, 2.3355;162 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*02*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*02*3;2024-10-09T02:30:04+00:00;48.889732, 2.33891;103 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*02*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*02*2;2024-10-09T02:30:04+00:00;48.889732, 2.33891;103 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*02*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*02*1;2024-10-09T08:15:35+00:00;48.889732, 2.33891;103 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
